,date,cal,step,dist,stop,light_act,heavy_act,hard_act,burn_cal,yesterday,sleep_time,awake_time,awake_count,total_sleep,rem,light_sleep,deep_sleep,target,inter
7,2022/10/9,2412,5615,4.1,825,151,12,13,765,3.0,326,59,32,385,71.0,185.0,70.0,2,1
8,2022/10/10,2632,7339,5.23,806,204,20,25,1095,2.0,354,50,30,404,85.0,177.0,92.0,2,1
9,2022/10/11,3460,15635,11.22,553,379,62,31,2199,2.0,266,66,13,332,56.0,145.0,65.0,2,1
10,2022/10/12,3231,15940,11.56,783,208,32,85,1765,2.0,195,37,16,232,29.0,130.0,36.0,1,1
11,2022/10/13,3088,11684,8.4,838,309,32,29,1671,1.0,370,54,25,424,70.0,232.0,68.0,3,1
12,2022/10/14,2264,5127,3.68,864,132,11,9,665,3.0,378,51,23,429,109.0,204.0,65.0,3,1
13,2022/10/15,2827,11147,8.22,656,161,30,50,1311,3.0,303,69,35,372,38.0,241.0,24.0,4,1
14,2022/10/16,2530,9118,6.55,862,155,19,32,1000,4.0,348,67,26,415,91.0,163.0,94.0,3,1
15,2022/10/17,2955,12176,8.9,723,239,16,47,1532,3.0,323,62,20,385,91.0,162.0,70.0,3,1
16,2022/10/18,2784,9130,6.56,769,240,23,23,1273,3.0,367,63,33,430,91.0,231.0,45.0,3,1
17,2022/10/19,2284,4154,2.98,845,147,15,3,656,3.0,303,43,14,346,72.0,170.0,61.0,3,1
18,2022/10/20,2543,7409,5.44,892,158,13,31,957,3.0,314,64,19,378,68.0,181.0,65.0,3,1
