start_date,end_date,sleep_time,awake_time,awake_count,total_sleep,rem,light_sleep,deep_sleep
2022. 10. 31. AM 9시 8분,2022. 10. 31. AM 10시 13분,59,6,1,65,NaN,NaN,NaN
2022. 10. 30. PM 11시 16분,2022. 10. 31. AM 6시 0분,342,61,29,403,67,248,27
2022. 10. 30. AM 12시 58분,2022. 10. 30. AM 8시 14분,358,78,23,436,72,225,61
2022. 10. 29. PM 2시 16분,2022. 10. 29. PM 4시 35분,124,13,0,139,NaN,NaN,NaN
2022. 10. 29. AM 12시 10분,2022. 10. 29. AM 8시 32분,435,66,32,501,96,261,78
2022. 10. 28. PM 4시 40분,2022. 10. 28. PM 6시 11분,83,7,1,91,NaN,NaN,NaN
2022. 10. 28. AM 2시 46분,2022. 10. 28. AM 8시 13분,267,59,12,326,57,148,62
2022. 10. 27. AM 1시 17분,2022. 10. 27. AM 7시 31분,299,75,12,374,82,156,61
2022. 10. 26. AM 12시 35분,2022. 10. 26. AM 7시 33분,360,57,29,417,68,236,56
2022. 10. 25. AM 12시 50분,2022. 10. 25. AM 7시 41분,299,112,13,411,55,188,56
2022. 10. 24. AM 12시 58분,2022. 10. 24. AM 7시 42분,325,79,29,404,48,223,54
2022. 10. 23. AM 12시 6분,2022. 10. 23. AM 7시 42분,378,78,30,456,103,204,71
2022. 10. 22. PM 2시 15분,2022. 10. 22. PM 4시 20분,112,12,0,124,NaN,NaN,NaN
2022. 10. 22. AM 1시 32분,2022. 10. 22. AM 8시 40분,376,51,29,427,106,209,61
2022. 10. 21. AM 12시 30분,2022. 10. 21. AM 6시 48분,314,64,19,378,68,181,65
2022. 10. 20. AM 2시 10분,2022. 10. 20. AM 7시 56분,303,43,14,346,72,170,61
2022. 10. 18. PM 11시 30분,2022. 10. 19. AM 6시 40분,367,63,33,430,91,231,45
2022. 10. 18. AM 12시 9분,2022. 10. 18. AM 6시 34분,323,62,20,385,91,162,70
2022. 10. 17. AM 12시 17분,2022. 10. 17. AM 7시 12분,348,67,26,415,91,163,94
2022. 10. 16. AM 12시 57분,2022. 10. 16. AM 7시 9분,303,69,35,372,38,241,24
2022. 10. 15. PM 3시 26분,2022. 10. 15. PM 5시 20분,106,3,0,114,NaN,NaN,NaN
2022. 10. 15. AM 1시 47분,2022. 10. 15. AM 8시 57분,378,51,23,429,109,204,65
2022. 10. 14. AM 12시 12분,2022. 10. 14. AM 7시 16분,370,54,25,424,70,232,68
2022. 10. 13. AM 3시 29분,2022. 10. 13. AM 7시 22분,195,37,16,232,29,130,36
2022. 10. 11. PM 11시 49분,2022. 10. 12. AM 5시 21분,266,66,13,332,56,145,65
2022. 10. 11. AM 12시 17분,2022. 10. 11. AM 7시 2분,354,50,30,404,85,177,92
2022. 10. 10. AM 1시 45분,2022. 10. 10. AM 8시 10분,326,59,32,385,71,185,70
2022. 10. 9. AM 12시 53분,2022. 10. 9. AM 8시 13분,390,49,29,439,76,238,76
2022. 10. 8. PM 3시 41분,2022. 10. 8. PM 5시 23분,92,7,0,102,NaN,NaN,NaN
2022. 10. 7. AM 12시 11분,2022. 10. 7. AM 7시 57분,394,72,36,466,77,265,52
2022. 10. 6. AM 12시 56분,2022. 10. 6. AM 7시 3분,328,39,30,367,73,165,90
2022. 10. 5. AM 12시 8분,2022. 10. 5. AM 8시 8분,427,53,34,480,90,260,77
2022. 10. 4. AM 2시 4분,2022. 10. 4. AM 7시 32분,280,48,29,328,50,193,37
2022. 10. 2. PM 11시 49분,2022. 10. 3. AM 5시 58분,328,41,31,369,97,151,80
2022. 10. 2. AM 3시 30분,2022. 10. 2. AM 9시 9분,275,63,20,338,54,159,62
2022. 10. 1. PM 1시 24분,2022. 10. 1. PM 3시 31분,120,7,1,127,NaN,NaN,NaN
2022. 10. 1. AM 2시 27분,2022. 10. 1. AM 9시 26분,330,89,24,419,71,221,38
